NAME,Households,Receipt of SNAP,state,ZIP
ZCTA5 97484,86,15,41,97484
ZCTA5 97486,282,23,41,97486
ZCTA5 97496,2998,769,41,97496
ZCTA5 97526,15157,3434,41,97526
ZCTA5 97534,495,261,41,97534
ZCTA5 97537,3093,587,41,97537
ZCTA5 97538,677,90,41,97538
ZCTA5 97630,2097,405,41,97630
ZCTA5 97707,2592,167,41,97707
ZCTA5 97721,106,0,41,97721
ZCTA5 97730,101,0,41,97730
ZCTA5 97732,38,0,41,97732
ZCTA5 97734,1075,190,41,97734
ZCTA5 97752,0,0,41,97752
ZCTA5 97801,7373,1768,41,97801
ZCTA5 97826,450,54,41,97826
ZCTA5 97827,1076,172,41,97827
ZCTA5 97833,346,27,41,97833
ZCTA5 97843,254,52,41,97843
ZCTA5 97035,11305,436,41,97035
ZCTA5 97051,6383,1588,41,97051
ZCTA5 97053,1247,93,41,97053
ZCTA5 97067,863,61,41,97067
ZCTA5 97101,1473,249,41,97101
ZCTA5 97351,3676,733,41,97351
ZCTA5 97378,2410,456,41,97378
ZCTA5 97394,2397,520,41,97394
ZCTA5 97403,4116,663,41,97403
ZCTA5 97413,486,126,41,97413
ZCTA5 97414,116,18,41,97414
ZCTA5 97441,211,41,41,97441
ZCTA5 97452,676,64,41,97452
ZCTA5 97454,540,74,41,97454
ZCTA5 97457,3998,897,41,97457
ZCTA5 97469,978,284,41,97469
ZCTA5 97477,15892,4737,41,97477
ZCTA5 97487,3459,730,41,97487
ZCTA5 97497,644,238,41,97497
ZCTA5 97499,830,205,41,97499
ZCTA5 97116,9479,1328,41,97116
ZCTA5 97125,52,0,41,97125
ZCTA5 97130,273,13,41,97130
ZCTA5 97131,1211,119,41,97131
ZCTA5 97134,173,0,41,97134
ZCTA5 97144,65,0,41,97144
ZCTA5 97146,2370,299,41,97146
ZCTA5 97147,166,51,41,97147
ZCTA5 97202,18304,1967,41,97202
ZCTA5 97218,5476,1126,41,97218
ZCTA5 97227,2574,433,41,97227
ZCTA5 97303,14991,2582,41,97303
ZCTA5 97325,2343,432,41,97325
ZCTA5 97327,1289,208,41,97327
ZCTA5 97007,25528,2077,41,97007
ZCTA5 97019,1217,56,41,97019
ZCTA5 97857,209,43,41,97857
ZCTA5 97032,1689,222,41,97032
ZCTA5 97023,3867,501,41,97023
ZCTA5 97476,128,0,41,97476
ZCTA5 97493,146,30,41,97493
ZCTA5 97603,11878,2595,41,97603
ZCTA5 97604,0,0,41,97604
ZCTA5 97633,579,58,41,97633
ZCTA5 97711,19,5,41,97711
ZCTA5 97233,13682,4766,41,97233
ZCTA5 97236,13079,4050,41,97236
ZCTA5 97305,14613,3674,41,97305
ZCTA5 97329,68,43,41,97329
ZCTA5 97341,1336,195,41,97341
ZCTA5 97343,105,43,41,97343
ZCTA5 97347,725,191,41,97347
ZCTA5 97348,609,69,41,97348
ZCTA5 97364,191,24,41,97364
ZCTA5 97390,328,35,41,97390
ZCTA5 97396,1287,329,41,97396
ZCTA5 97406,30,30,41,97406
ZCTA5 97408,5880,651,41,97408
ZCTA5 97909,22,0,41,97909
ZCTA5 97920,57,0,41,97920
ZCTA5 97008,12136,1177,41,97008
ZCTA5 97020,331,41,41,97020
ZCTA5 97026,1138,234,41,97026
ZCTA5 97027,4796,763,41,97027
ZCTA5 97045,20559,1983,41,97045
ZCTA5 97050,95,18,41,97050
ZCTA5 97062,11175,903,41,97062
ZCTA5 97068,10994,482,41,97068
ZCTA5 97070,10185,651,41,97070
ZCTA5 97071,9188,1800,41,97071
ZCTA5 97102,147,0,41,97102
ZCTA5 97108,226,77,41,97108
ZCTA5 97117,262,21,41,97117
ZCTA5 97121,545,103,41,97121
ZCTA5 97124,20830,1703,41,97124
ZCTA5 97128,14262,3137,41,97128
ZCTA5 97135,281,65,41,97135
ZCTA5 97136,714,144,41,97136
ZCTA5 97213,14023,1792,41,97213
ZCTA5 97217,14694,1866,41,97217
ZCTA5 97220,11372,1893,41,97220
ZCTA5 97221,5149,297,41,97221
ZCTA5 97006,27222,3060,41,97006
ZCTA5 97304,12298,1412,41,97304
ZCTA5 97306,12209,1415,41,97306
ZCTA5 97357,108,0,41,97357
ZCTA5 97366,772,105,41,97366
ZCTA5 97371,246,0,41,97371
ZCTA5 97385,1221,65,41,97385
ZCTA5 97389,697,78,41,97389
ZCTA5 97424,7212,1581,41,97424
ZCTA5 97426,3868,682,41,97426
ZCTA5 97434,342,86,41,97434
ZCTA5 97458,1950,565,41,97458
ZCTA5 97462,1592,365,41,97462
ZCTA5 97465,1046,391,41,97465
ZCTA5 97466,463,136,41,97466
ZCTA5 97488,482,63,41,97488
ZCTA5 97490,92,7,41,97490
ZCTA5 97503,4096,978,41,97503
ZCTA5 97522,260,63,41,97522
ZCTA5 97523,2481,771,41,97523
ZCTA5 97543,277,30,41,97543
ZCTA5 97544,1093,155,41,97544
ZCTA5 97731,182,80,41,97731
ZCTA5 97754,8580,1915,41,97754
ZCTA5 97620,95,12,41,97620
ZCTA5 97621,118,8,41,97621
ZCTA5 97622,196,68,41,97622
ZCTA5 97623,1093,158,41,97623
ZCTA5 97710,53,0,41,97710
ZCTA5 97720,2029,468,41,97720
ZCTA5 97735,53,0,41,97735
ZCTA5 97360,958,258,41,97360
ZCTA5 97362,1610,290,41,97362
ZCTA5 97367,4532,1034,41,97367
ZCTA5 97370,3301,278,41,97370
ZCTA5 97380,966,258,41,97380
ZCTA5 97392,2450,163,41,97392
ZCTA5 97404,13547,2329,41,97404
ZCTA5 97405,19215,2485,41,97405
ZCTA5 97410,323,34,41,97410
ZCTA5 97415,6548,968,41,97415
ZCTA5 97416,405,55,41,97416
ZCTA5 97430,165,25,41,97430
ZCTA5 97435,910,158,41,97435
ZCTA5 97439,7074,1079,41,97439
ZCTA5 97442,907,233,41,97442
ZCTA5 97127,1346,284,41,97127
ZCTA5 97031,7237,712,41,97031
ZCTA5 97137,435,15,41,97137
ZCTA5 97324,499,122,41,97324
ZCTA5 97057,4,0,41,97057
ZCTA5 97086,11378,1067,41,97086
ZCTA5 97089,4639,364,41,97089
ZCTA5 97208,0,0,41,97208
ZCTA5 97239,9022,571,41,97239
ZCTA5 97317,7758,1260,41,97317
ZCTA5 97322,14067,2715,41,97322
ZCTA5 97369,92,6,41,97369
ZCTA5 97373,0,0,41,97373
ZCTA5 97384,0,0,41,97384
ZCTA5 97388,365,16,41,97388
ZCTA5 97471,12626,1887,41,97471
ZCTA5 97494,46,0,41,97494
ZCTA5 97495,711,115,41,97495
ZCTA5 97038,5633,882,41,97038
ZCTA5 97055,7027,991,41,97055
ZCTA5 97058,8122,1689,41,97058
ZCTA5 97064,1275,249,41,97064
ZCTA5 97106,1519,70,41,97106
ZCTA5 97107,750,137,41,97107
ZCTA5 97109,195,5,41,97109
ZCTA5 97112,788,133,41,97112
ZCTA5 97115,1474,187,41,97115
ZCTA5 97140,9045,216,41,97140
ZCTA5 97148,1346,61,41,97148
ZCTA5 97219,16878,980,41,97219
ZCTA5 97230,15147,2806,41,97230
ZCTA5 97459,5386,1098,41,97459
ZCTA5 97470,8830,2102,41,97470
