NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97484,178,86,15,41,97484,17.4419
ZCTA5 97486,663,282,23,41,97486,8.156
ZCTA5 97496,7737,2998,769,41,97496,25.6504
ZCTA5 97526,35920,15157,3434,41,97526,22.6562
ZCTA5 97534,927,495,261,41,97534,52.7273
ZCTA5 97537,7463,3093,587,41,97537,18.9783
ZCTA5 97538,1463,677,90,41,97538,13.2939
ZCTA5 97630,4969,2097,405,41,97630,19.3133
ZCTA5 97707,6115,2592,167,41,97707,6.4429
ZCTA5 97721,222,106,0,41,97721,0.0
ZCTA5 97730,222,101,0,41,97730,0.0
ZCTA5 97732,123,38,0,41,97732,0.0
ZCTA5 97734,3413,1075,190,41,97734,17.6744
ZCTA5 97752,0,0,0,41,97752,
ZCTA5 97801,20563,7373,1768,41,97801,23.9794
ZCTA5 97826,1144,450,54,41,97826,12.0
ZCTA5 97827,2407,1076,172,41,97827,15.9851
ZCTA5 97833,740,346,27,41,97833,7.8035
ZCTA5 97843,643,254,52,41,97843,20.4724
ZCTA5 97035,26977,11305,436,41,97035,3.8567
ZCTA5 97051,16977,6383,1588,41,97051,24.8786
ZCTA5 97053,3248,1247,93,41,97053,7.4579
ZCTA5 97067,1745,863,61,41,97067,7.0684
ZCTA5 97101,4278,1473,249,41,97101,16.9043
ZCTA5 97351,11150,3676,733,41,97351,19.9402
ZCTA5 97378,8442,2410,456,41,97378,18.9212
ZCTA5 97394,5224,2397,520,41,97394,21.6938
ZCTA5 97403,13398,4116,663,41,97403,16.1079
ZCTA5 97413,944,486,126,41,97413,25.9259
ZCTA5 97414,306,116,18,41,97414,15.5172
ZCTA5 97441,586,211,41,41,97441,19.4313
ZCTA5 97452,1719,676,64,41,97452,9.4675
ZCTA5 97454,1471,540,74,41,97454,13.7037
ZCTA5 97457,10288,3998,897,41,97457,22.4362
ZCTA5 97469,2731,978,284,41,97469,29.0389
ZCTA5 97477,37535,15892,4737,41,97477,29.8075
ZCTA5 97487,9106,3459,730,41,97487,21.1044
ZCTA5 97497,1514,644,238,41,97497,36.9565
ZCTA5 97499,1839,830,205,41,97499,24.6988
ZCTA5 97116,27281,9479,1328,41,97116,14.0099
ZCTA5 97125,281,52,0,41,97125,0.0
ZCTA5 97130,435,273,13,41,97130,4.7619
ZCTA5 97131,2751,1211,119,41,97131,9.8266
ZCTA5 97134,290,173,0,41,97134,0.0
ZCTA5 97144,117,65,0,41,97144,0.0
ZCTA5 97146,6698,2370,299,41,97146,12.616
ZCTA5 97147,349,166,51,41,97147,30.7229
ZCTA5 97202,43371,18304,1967,41,97202,10.7463
ZCTA5 97218,15191,5476,1126,41,97218,20.5625
ZCTA5 97227,5146,2574,433,41,97227,16.8221
ZCTA5 97303,41173,14991,2582,41,97303,17.2237
ZCTA5 97325,6997,2343,432,41,97325,18.4379
ZCTA5 97327,3386,1289,208,41,97327,16.1365
ZCTA5 97007,72299,25528,2077,41,97007,8.1362
ZCTA5 97019,3167,1217,56,41,97019,4.6015
ZCTA5 97857,551,209,43,41,97857,20.5742
ZCTA5 97032,5048,1689,222,41,97032,13.1439
ZCTA5 97023,9968,3867,501,41,97023,12.9558
ZCTA5 97476,343,128,0,41,97476,0.0
ZCTA5 97493,367,146,30,41,97493,20.5479
ZCTA5 97603,29357,11878,2595,41,97603,21.8471
ZCTA5 97604,135,0,0,41,97604,
ZCTA5 97633,1263,579,58,41,97633,10.0173
ZCTA5 97711,32,19,5,41,97711,26.3158
ZCTA5 97233,40477,13682,4766,41,97233,34.8341
ZCTA5 97236,40892,13079,4050,41,97236,30.9657
ZCTA5 97305,43917,14613,3674,41,97305,25.142
ZCTA5 97329,146,68,43,41,97329,63.2353
ZCTA5 97341,2682,1336,195,41,97341,14.5958
ZCTA5 97343,222,105,43,41,97343,40.9524
ZCTA5 97347,1902,725,191,41,97347,26.3448
ZCTA5 97348,1572,609,69,41,97348,11.33
ZCTA5 97364,464,191,24,41,97364,12.5654
ZCTA5 97390,750,328,35,41,97390,10.6707
ZCTA5 97396,3384,1287,329,41,97396,25.5633
ZCTA5 97406,48,30,30,41,97406,100.0
ZCTA5 97408,13360,5880,651,41,97408,11.0714
ZCTA5 97909,97,22,0,41,97909,0.0
ZCTA5 97920,73,57,0,41,97920,0.0
ZCTA5 97008,29916,12136,1177,41,97008,9.6984
ZCTA5 97020,918,331,41,41,97020,12.3867
ZCTA5 97026,4468,1138,234,41,97026,20.5624
ZCTA5 97027,12521,4796,763,41,97027,15.9091
ZCTA5 97045,56250,20559,1983,41,97045,9.6454
ZCTA5 97050,173,95,18,41,97050,18.9474
ZCTA5 97062,28694,11175,903,41,97062,8.0805
ZCTA5 97068,29582,10994,482,41,97068,4.3842
ZCTA5 97070,25101,10185,651,41,97070,6.3918
ZCTA5 97071,29796,9188,1800,41,97071,19.5908
ZCTA5 97102,318,147,0,41,97102,0.0
ZCTA5 97108,640,226,77,41,97108,34.0708
ZCTA5 97117,719,262,21,41,97117,8.0153
ZCTA5 97121,1402,545,103,41,97121,18.8991
ZCTA5 97124,55170,20830,1703,41,97124,8.1757
ZCTA5 97128,37993,14262,3137,41,97128,21.9955
ZCTA5 97135,716,281,65,41,97135,23.1317
ZCTA5 97136,1590,714,144,41,97136,20.1681
ZCTA5 97213,33011,14023,1792,41,97213,12.779
ZCTA5 97217,34709,14694,1866,41,97217,12.6991
ZCTA5 97220,29629,11372,1893,41,97220,16.6461
ZCTA5 97221,12467,5149,297,41,97221,5.7681
ZCTA5 97006,74070,27222,3060,41,97006,11.2409
ZCTA5 97304,31863,12298,1412,41,97304,11.4815
ZCTA5 97306,32416,12209,1415,41,97306,11.5898
ZCTA5 97357,174,108,0,41,97357,0.0
ZCTA5 97366,1772,772,105,41,97366,13.601
ZCTA5 97371,659,246,0,41,97371,0.0
ZCTA5 97385,3151,1221,65,41,97385,5.3235
ZCTA5 97389,1858,697,78,41,97389,11.1908
ZCTA5 97424,17909,7212,1581,41,97424,21.9218
ZCTA5 97426,10119,3868,682,41,97426,17.6319
ZCTA5 97434,959,342,86,41,97434,25.1462
ZCTA5 97458,4390,1950,565,41,97458,28.9744
ZCTA5 97462,3730,1592,365,41,97462,22.9271
ZCTA5 97465,2021,1046,391,41,97465,37.3805
ZCTA5 97466,1272,463,136,41,97466,29.3737
ZCTA5 97488,1219,482,63,41,97488,13.0705
ZCTA5 97490,257,92,7,41,97490,7.6087
ZCTA5 97503,12819,4096,978,41,97503,23.877
ZCTA5 97522,588,260,63,41,97522,24.2308
ZCTA5 97523,5485,2481,771,41,97523,31.0762
ZCTA5 97543,600,277,30,41,97543,10.8303
ZCTA5 97544,2606,1093,155,41,97544,14.1812
ZCTA5 97731,371,182,80,41,97731,43.956
ZCTA5 97754,20270,8580,1915,41,97754,22.3193
ZCTA5 97620,177,95,12,41,97620,12.6316
ZCTA5 97621,150,118,8,41,97621,6.7797
ZCTA5 97622,458,196,68,41,97622,34.6939
