NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,Type,Primary City,State,County
ZCTA5 97535,5454,2289,355,355,97535,STANDARD,Phoenix,OR,Jackson County
ZCTA5 97625,360,100,23,23,97625,STANDARD,Dairy,OR,Klamath County
ZCTA5 97626,58,58,0,0,97626,PO BOX,Fort Klamath,OR,Klamath County
ZCTA5 97637,126,54,5,5,97637,STANDARD,Plush,OR,Lake County
ZCTA5 97640,179,94,2,2,97640,STANDARD,Summer Lake,OR,Lake County
ZCTA5 97009,8198,2919,251,282,97009,STANDARD,Boring,OR,Clackamas County
ZCTA5 97014,1589,710,264,264,97014,STANDARD,Cascade Locks,OR,Hood River County
ZCTA5 97030,38980,14978,3339,3638,97030,STANDARD,Gresham,OR,Multnomah County
ZCTA5 97039,494,202,31,35,97039,STANDARD,Moro,OR,Sherman County
ZCTA5 97042,2877,1023,99,99,97042,STANDARD,Mulino,OR,Clackamas County
ZCTA5 97049,1725,809,89,97,97049,STANDARD,Rhododendron,OR,Clackamas County
ZCTA5 97054,1368,603,35,35,97054,STANDARD,Deer Island,OR,Columbia County
ZCTA5 97118,672,325,62,64,97118,PO BOX,Garibaldi,OR,Tillamook County
ZCTA5 97141,13557,5295,1005,1037,97141,STANDARD,Tillamook,OR,Tillamook County
ZCTA5 97149,458,211,2,2,97149,STANDARD,Neskowin,OR,Tillamook County
ZCTA5 97201,17558,9310,1028,1096,97201,STANDARD,Portland,OR,Multnomah County
ZCTA5 97216,17757,7001,1373,1401,97216,STANDARD,Portland,OR,Multnomah County
ZCTA5 97331,2868,0,0,0,97331,STANDARD,Corvallis,OR,Benton County
ZCTA5 97358,2610,1106,79,79,97358,STANDARD,Lyons,OR,Linn County
ZCTA5 97034,20108,8155,225,278,97034,STANDARD,Lake Oswego,OR,Clackamas County
ZCTA5 97048,7591,2737,621,639,97048,STANDARD,Rainier,OR,Columbia County
ZCTA5 97056,12161,4672,488,635,97056,STANDARD,Scappoose,OR,Columbia County
ZCTA5 97080,44907,15745,1749,1838,97080,STANDARD,Gresham,OR,Multnomah County
ZCTA5 97103,17892,6910,1040,1097,97103,STANDARD,Astoria,OR,Clatsop County
ZCTA5 97110,1286,577,128,136,97110,PO BOX,Cannon Beach,OR,Clatsop County
ZCTA5 97114,4675,1473,256,280,97114,STANDARD,Dayton,OR,Yamhill County
ZCTA5 97122,526,166,17,17,97122,STANDARD,Hebo,OR,Tillamook County
ZCTA5 97210,11395,6325,345,443,97210,STANDARD,Portland,OR,Multnomah County
ZCTA5 97225,25965,11736,910,1177,97225,STANDARD,Portland,OR,Washington County
ZCTA5 97453,882,378,77,77,97453,STANDARD,Mapleton,OR,Lane County
ZCTA5 97222,36904,16090,1912,2279,97222,STANDARD,Portland,OR,Clackamas County
ZCTA5 97229,71529,25804,1451,1559,97229,STANDARD,Portland,OR,Washington County
ZCTA5 97266,36818,13439,2993,3194,97266,STANDARD,Portland,OR,Multnomah County
ZCTA5 97338,22449,8517,1494,1524,97338,STANDARD,Dallas,OR,Polk County
ZCTA5 97344,1742,567,209,209,97344,STANDARD,Falls City,OR,Polk County
ZCTA5 97368,3326,1388,303,303,97368,STANDARD,Otis,OR,Lincoln County
ZCTA5 97376,1046,515,89,94,97376,STANDARD,Seal Rock,OR,Lincoln County
ZCTA5 97383,10185,3859,557,577,97383,STANDARD,Stayton,OR,Marion County
ZCTA5 97391,6399,2447,618,640,97391,STANDARD,Toledo,OR,Lincoln County
ZCTA5 97411,7568,3411,631,633,97411,STANDARD,Bandon,OR,Coos County
ZCTA5 97444,5974,2691,333,464,97444,STANDARD,Gold Beach,OR,Curry County
ZCTA5 97448,13409,5255,708,766,97448,STANDARD,Junction City,OR,Lane County
ZCTA5 97484,136,69,6,6,97484,STANDARD,Tiller,OR,Douglas County
ZCTA5 97486,668,324,4,4,97486,STANDARD,Umpqua,OR,Douglas County
ZCTA5 97496,7663,2967,674,674,97496,STANDARD,Winston,OR,Douglas County
ZCTA5 97526,35302,14783,3640,3758,97526,STANDARD,Grants Pass,OR,Josephine County
ZCTA5 97534,719,458,318,318,97534,STANDARD,O Brien,OR,Josephine County
ZCTA5 97537,7104,2879,673,690,97537,STANDARD,Rogue River,OR,Jackson County
ZCTA5 97538,1809,719,108,108,97538,STANDARD,Selma,OR,Josephine County
ZCTA5 97630,4797,2009,404,414,97630,STANDARD,Lakeview,OR,Lake County
ZCTA5 97707,5970,2643,116,157,97707,STANDARD,Bend,OR,Deschutes County
ZCTA5 97721,199,100,0,0,97721,STANDARD,Princeton,OR,Harney County
ZCTA5 97730,327,116,0,0,97730,STANDARD,Camp Sherman,OR,Jefferson County
ZCTA5 97732,113,46,0,0,97732,PO BOX,Crane,OR,Harney County
ZCTA5 97734,3606,1157,191,204,97734,STANDARD,Culver,OR,Jefferson County
ZCTA5 97752,0,0,0,0,97752,STANDARD,Post,OR,Crook County
ZCTA5 97801,20859,7247,1722,1774,97801,STANDARD,Pendleton,OR,Umatilla County
ZCTA5 97826,1274,452,35,35,97826,STANDARD,Echo,OR,Umatilla County
ZCTA5 97827,2485,1109,149,171,97827,STANDARD,Elgin,OR,Union County
ZCTA5 97833,673,338,37,37,97833,STANDARD,Haines,OR,Baker County
ZCTA5 97843,747,312,43,43,97843,STANDARD,Ione,OR,Morrow County
ZCTA5 97035,26721,10962,327,463,97035,STANDARD,Lake Oswego,OR,Clackamas County
ZCTA5 97051,17126,6360,1580,1675,97051,STANDARD,Saint Helens,OR,Columbia County
ZCTA5 97053,3633,1307,86,101,97053,STANDARD,Warren,OR,Columbia County
ZCTA5 97067,2004,1058,206,221,97067,STANDARD,Welches,OR,Clackamas County
ZCTA5 97101,4141,1390,215,224,97101,STANDARD,Amity,OR,Yamhill County
ZCTA5 97351,11551,3511,781,792,97351,STANDARD,Independence,OR,Polk County
ZCTA5 97378,10637,3349,558,639,97378,STANDARD,Sheridan,OR,Yamhill County
ZCTA5 97394,5090,2423,502,522,97394,STANDARD,Waldport,OR,Lincoln County
ZCTA5 97403,14024,4261,825,825,97403,STANDARD,Eugene,OR,Lane County
ZCTA5 97413,944,475,113,123,97413,STANDARD,Blue River,OR,Lane County
ZCTA5 97414,154,73,0,0,97414,STANDARD,Broadbent,OR,Coos County
ZCTA5 97441,466,155,40,40,97441,STANDARD,Gardiner,OR,Douglas County
ZCTA5 97736,88,36,0,0,97736,STANDARD,Frenchglen,OR,Harney County
ZCTA5 97738,2045,823,142,149,97738,STANDARD,Hines,OR,Harney County
ZCTA5 97739,13158,5416,1122,1122,97739,STANDARD,La Pine,OR,Deschutes County
ZCTA5 97759,7530,3258,216,243,97759,STANDARD,Sisters,OR,Deschutes County
ZCTA5 97812,832,340,69,69,97812,STANDARD,Arlington,OR,Gilliam County
ZCTA5 97813,1435,553,75,78,97813,STANDARD,Athena,OR,Umatilla County
ZCTA5 97836,2148,914,107,107,97836,STANDARD,Heppner,OR,Morrow County
ZCTA5 97481,875,346,147,147,97481,STANDARD,Tenmile,OR,Douglas County
ZCTA5 97504,48053,19656,3244,3339,97504,STANDARD,Medford,OR,Jackson County
ZCTA5 97539,3296,1522,314,331,97539,STANDARD,Shady Cove,OR,Jackson County
ZCTA5 97624,3519,1591,321,337,97624,STANDARD,Chiloquin,OR,Klamath County
ZCTA5 97634,284,98,16,16,97634,PO BOX,Midland,OR,Klamath County
ZCTA5 97636,508,220,33,43,97636,STANDARD,Paisley,OR,Lake County
ZCTA5 97638,575,188,25,25,97638,STANDARD,Silver Lake,OR,Lake County
ZCTA5 97702,50395,20316,1750,1811,97702,STANDARD,Bend,OR,Deschutes County
ZCTA5 97751,62,27,0,0,97751,STANDARD,Paulina,OR,Crook County
ZCTA5 97761,3631,1030,553,570,97761,PO BOX,Warm Springs,OR,Jefferson County
ZCTA5 97817,55,7,0,0,97817,STANDARD,Bates,OR,Grant County
ZCTA5 97823,1014,539,89,89,97823,STANDARD,Condon,OR,Gilliam County
ZCTA5 97824,1853,722,45,51,97824,STANDARD,Cove,OR,Union County
ZCTA5 97839,291,128,11,11,97839,STANDARD,Lexington,OR,Morrow County
ZCTA5 97841,540,195,8,8,97841,STANDARD,Imbler,OR,Union County
ZCTA5 97844,3803,1274,326,326,97844,STANDARD,Irrigon,OR,Morrow County
ZCTA5 97846,1954,947,118,118,97846,STANDARD,Joseph,OR,Wallowa County
ZCTA5 97859,230,72,15,15,97859,PO BOX,Meacham,OR,Umatilla County
ZCTA5 97862,12014,4462,1017,1071,97862,STANDARD,Milton Freewater,OR,Umatilla County
ZCTA5 97875,2885,1059,122,134,97875,STANDARD,Stanfield,OR,Umatilla County
ZCTA5 97882,7958,2258,464,502,97882,STANDARD,Umatilla,OR,Umatilla County
ZCTA5 97904,249,117,10,17,97904,STANDARD,Drewsey,OR,Harney County
ZCTA5 97908,31,17,0,0,97908,STANDARD,Ironside,OR,Malheur County
ZCTA5 97810,1197,444,31,43,97810,STANDARD,Adams,OR,Umatilla County
ZCTA5 97819,19,12,0,0,97819,STANDARD,Bridgeport,OR,Baker County
ZCTA5 97452,1518,594,53,53,97452,STANDARD,Lowell,OR,Lane County
ZCTA5 97454,1136,411,50,50,97454,STANDARD,Marcola,OR,Lane County
ZCTA5 97457,10365,4100,709,718,97457,STANDARD,Myrtle Creek,OR,Douglas County
ZCTA5 97469,2789,1076,213,226,97469,STANDARD,Riddle,OR,Douglas County
ZCTA5 97477,38073,16194,4530,4658,97477,STANDARD,Springfield,OR,Lane County
ZCTA5 97487,9047,3581,963,970,97487,STANDARD,Veneta,OR,Lane County
ZCTA5 97497,1502,744,237,243,97497,STANDARD,Wolf Creek,OR,Josephine County
ZCTA5 97499,1869,821,206,206,97499,STANDARD,Yoncalla,OR,Douglas County
ZCTA5 97116,27349,9534,1092,1194,97116,STANDARD,Forest Grove,OR,Washington County
ZCTA5 97125,141,25,0,0,97125,STANDARD,Manning,OR,Washington County
ZCTA5 97130,528,297,7,19,97130,PO BOX,Manzanita,OR,Tillamook County
ZCTA5 97131,3065,1329,125,172,97131,STANDARD,Nehalem,OR,Tillamook County
ZCTA5 97134,108,67,0,0,97134,PO BOX,Oceanside,OR,Tillamook County
ZCTA5 97144,138,74,16,16,97144,STANDARD,Timber,OR,Washington County
ZCTA5 97146,6980,2595,269,273,97146,STANDARD,Warrenton,OR,Clatsop County
ZCTA5 97147,376,179,55,55,97147,PO BOX,Wheeler,OR,Tillamook County
ZCTA5 97202,43744,18194,1767,2023,97202,STANDARD,Portland,OR,Multnomah County
ZCTA5 97218,14666,5500,942,987,97218,STANDARD,Portland,OR,Multnomah County
ZCTA5 97227,5911,3150,400,404,97227,STANDARD,Portland,OR,Multnomah County
ZCTA5 97303,41596,15214,2745,2843,97303,STANDARD,Salem,OR,Marion County
ZCTA5 97325,6837,2296,410,410,97325,STANDARD,Aumsville,OR,Marion County
ZCTA5 97327,3511,1373,216,231,97327,STANDARD,Brownsville,OR,Linn County
ZCTA5 97007,71896,26407,2308,2585,97007,STANDARD,Beaverton,OR,Washington County
ZCTA5 97019,3304,1198,70,70,97019,STANDARD,Corbett,OR,Multnomah County
ZCTA5 97857,641,246,33,39,97857,STANDARD,Lostine,OR,Wallowa County
ZCTA5 97032,5210,1808,174,203,97032,STANDARD,Hubbard,OR,Marion County
ZCTA5 97023,10481,4065,477,496,97023,STANDARD,Estacada,OR,Clackamas County
ZCTA5 97476,357,148,0,0,97476,STANDARD,Sixes,OR,Curry County
ZCTA5 97493,300,125,24,24,97493,STANDARD,Westlake,OR,Lane County
ZCTA5 97603,29797,12200,2622,2772,97603,STANDARD,Klamath Falls,OR,Klamath County
ZCTA5 97604,137,0,0,0,97604,PO BOX,Crater Lake,OR,Klamath County
ZCTA5 97633,1263,545,65,65,97633,STANDARD,Merrill,OR,Klamath County
ZCTA5 97711,28,16,0,0,97711,STANDARD,Ashwood,OR,Jefferson County
ZCTA5 97233,38779,13657,4207,4636,97233,STANDARD,Portland,OR,Multnomah County
ZCTA5 97236,39669,12817,3600,3931,97236,STANDARD,Portland,OR,Multnomah County
ZCTA5 97305,44536,14176,3236,3312,97305,STANDARD,Salem,OR,Marion County
ZCTA5 97329,107,56,42,42,97329,STANDARD,Cascadia,OR,Linn County
ZCTA5 97341,2628,1398,157,168,97341,STANDARD,Depoe Bay,OR,Lincoln County
ZCTA5 97343,293,135,59,59,97343,STANDARD,Eddyville,OR,Lincoln County
ZCTA5 97347,1584,653,177,178,97347,STANDARD,Grand Ronde,OR,Polk County
ZCTA5 97348,1533,587,73,73,97348,STANDARD,Halsey,OR,Linn County
ZCTA5 97364,501,277,23,23,97364,STANDARD,Neotsu,OR,Lincoln County
ZCTA5 97390,891,614,377,377,97390,STANDARD,Tidewater,OR,Lincoln County
ZCTA5 97396,3753,1363,374,380,97396,STANDARD,Willamina,OR,Yamhill County
ZCTA5 97406,355,162,80,80,97406,STANDARD,Agness,OR,Curry County
ZCTA5 97408,13761,5787,677,715,97408,STANDARD,Eugene,OR,Lane County
ZCTA5 97909,0,0,0,0,97909,STANDARD,Jamieson,OR,Malheur County
ZCTA5 97920,36,19,0,0,97920,PO BOX,Westfall,OR,Malheur County
ZCTA5 97008,30485,12581,1019,1083,97008,STANDARD,Beaverton,OR,Washington County
ZCTA5 97020,1197,418,45,45,97020,STANDARD,Donald,OR,Marion County
ZCTA5 97026,3926,951,141,141,97026,STANDARD,Gervais,OR,Marion County
ZCTA5 97027,12984,4928,652,727,97027,STANDARD,Gladstone,OR,Clackamas County
ZCTA5 97045,56558,20332,2108,2242,97045,STANDARD,Oregon City,OR,Clackamas County
ZCTA5 97050,211,109,23,23,97050,PO BOX,Rufus,OR,Sherman County
ZCTA5 97062,28740,11007,710,873,97062,STANDARD,Tualatin,OR,Washington County
ZCTA5 97068,30085,11267,462,588,97068,STANDARD,West Linn,OR,Clackamas County
ZCTA5 97127,4222,1377,324,330,97127,STANDARD,Lafayette,OR,Yamhill County
ZCTA5 97031,18643,7331,711,719,97031,STANDARD,Hood River,OR,Hood River County
ZCTA5 97392,5695,1974,110,110,97392,STANDARD,Turner,OR,Marion County
ZCTA5 97404,34126,13222,2348,2481,97404,STANDARD,Eugene,OR,Lane County
ZCTA5 97405,45184,19350,2531,2787,97405,STANDARD,Eugene,OR,Lane County
ZCTA5 97410,566,278,5,5,97410,STANDARD,Azalea,OR,Douglas County
ZCTA5 97415,13857,6462,757,805,97415,STANDARD,Brookings,OR,Curry County
ZCTA5 97416,1241,404,47,52,97416,STANDARD,Camas Valley,OR,Douglas County
ZCTA5 97430,394,160,38,38,97430,STANDARD,Deadwood,OR,Lane County
ZCTA5 97435,2170,934,118,122,97435,STANDARD,Drain,OR,Douglas County
ZCTA5 97439,15101,7552,1048,1122,97439,STANDARD,Florence,OR,Lane County
ZCTA5 97442,2319,1052,252,252,97442,STANDARD,Glendale,OR,Douglas County
ZCTA5 97443,2939,1006,243,243,97443,STANDARD,Glide,OR,Douglas County
ZCTA5 97446,5826,1991,384,391,97446,STANDARD,Harrisburg,OR,Linn County
ZCTA5 97447,485,210,63,63,97447,STANDARD,Idleyld Park,OR,Douglas County
ZCTA5 97070,25163,10007,671,849,97070,STANDARD,Wilsonville,OR,Clackamas County
ZCTA5 97071,31034,10001,1922,2060,97071,STANDARD,Woodburn,OR,Marion County
ZCTA5 97102,328,183,0,0,97102,STANDARD,Arch Cape,OR,Clatsop County
ZCTA5 97108,518,221,28,28,97108,STANDARD,Beaver,OR,Tillamook County
ZCTA5 97117,727,255,36,43,97117,STANDARD,Gales Creek,OR,Washington County
ZCTA5 97121,1352,553,73,73,97121,STANDARD,Hammond,OR,Clatsop County
ZCTA5 97124,56101,20864,1628,2029,97124,STANDARD,Hillsboro,OR,Washington County
ZCTA5 97128,38246,14389,3243,3455,97128,STANDARD,Mcminnville,OR,Yamhill County
ZCTA5 97135,1016,408,57,57,97135,PO BOX,Pacific City,OR,Tillamook County
ZCTA5 97136,1909,823,154,158,97136,STANDARD,Rockaway Beach,OR,Tillamook County
ZCTA5 97213,32815,14667,1431,1707,97213,STANDARD,Portland,OR,Multnomah County
ZCTA5 97217,34881,14838,2008,2053,97217,STANDARD,Portland,OR,Multnomah County
ZCTA5 97220,29318,11615,2359,2460,97220,STANDARD,Portland,OR,Multnomah County
ZCTA5 97221,12104,4997,264,303,97221,STANDARD,Portland,OR,Multnomah County
ZCTA5 97006,74152,27309,2858,3039,97006,STANDARD,Beaverton,OR,Washington County
ZCTA5 97038,15504,5522,960,982,97038,STANDARD,Molalla,OR,Clackamas County
ZCTA5 97055,18600,6831,869,895,97055,STANDARD,Sandy,OR,Clackamas County
ZCTA5 97058,20627,8101,1850,1910,97058,STANDARD,The Dalles,OR,Wasco County
ZCTA5 97064,3244,1357,296,300,97064,STANDARD,Vernonia,OR,Columbia County
ZCTA5 97106,4942,1656,123,136,97106,STANDARD,Banks,OR,Washington County
ZCTA5 97107,2302,922,172,177,97107,STANDARD,Bay City,OR,Tillamook County
ZCTA5 97109,736,220,11,11,97109,STANDARD,Buxton,OR,Washington County
ZCTA5 97112,1688,767,132,132,97112,STANDARD,Cloverdale,OR,Tillamook County
ZCTA5 97115,4021,1384,147,147,97115,STANDARD,Dundee,OR,Yamhill County
ZCTA5 97140,25778,8739,203,254,97140,STANDARD,Sherwood,OR,Washington County
ZCTA5 97148,3553,1096,76,106,97148,STANDARD,Yamhill,OR,Yamhill County
ZCTA5 97219,43274,17694,932,1162,97219,STANDARD,Portland,OR,Multnomah County
ZCTA5 97230,39900,15326,2383,2589,97230,STANDARD,Portland,OR,Multnomah County
ZCTA5 97459,14434,5737,1247,1247,97459,STANDARD,North Bend,OR,Coos County
ZCTA5 97470,18659,8589,1748,1813,97470,STANDARD,Roseburg,OR,Douglas County
ZCTA5 97478,40357,14735,2598,2780,97478,STANDARD,Springfield,OR,Lane County
ZCTA5 97480,291,137,46,46,97480,STANDARD,Swisshome,OR,Lane County
ZCTA5 97489,873,384,30,30,97489,STANDARD,Walterville,OR,Lane County
ZCTA5 97492,1071,509,113,115,97492,STANDARD,Westfir,OR,Lane County
ZCTA5 97502,28769,11211,1447,1557,97502,STANDARD,Central Point,OR,Jackson County
ZCTA5 97520,25345,11717,1356,1444,97520,STANDARD,Ashland,OR,Jackson County
ZCTA5 97524,15174,6002,521,607,97524,STANDARD,Eagle Point,OR,Jackson County
ZCTA5 97527,37120,15275,3274,3350,97527,STANDARD,Grants Pass,OR,Josephine County
ZCTA5 97530,7806,3451,155,155,97530,STANDARD,Jacksonville,OR,Jackson County
ZCTA5 97532,2621,1105,157,180,97532,STANDARD,Merlin,OR,Josephine County
ZCTA5 97137,1087,357,14,19,97137,STANDARD,Saint Paul,OR,Marion County
ZCTA5 97324,1495,632,193,193,97324,STANDARD,Alsea,OR,Benton County
ZCTA5 97057,12,6,0,0,97057,PO BOX,Shaniko,OR,Wasco County
ZCTA5 97086,31609,11689,1242,1330,97086,STANDARD,Happy Valley,OR,Clackamas County
ZCTA5 97089,13777,4562,254,288,97089,STANDARD,Damascus,OR,Clackamas County
ZCTA5 97208,0,0,0,0,97208,PO BOX,Portland,OR,Multnomah County
ZCTA5 97239,18637,9249,629,643,97239,STANDARD,Portland,OR,Multnomah County
ZCTA5 97317,26408,8043,1295,1415,97317,STANDARD,Salem,OR,Marion County
ZCTA5 97322,37343,13743,2563,2624,97322,STANDARD,Albany,OR,Linn County
ZCTA5 97369,139,67,8,8,97369,STANDARD,Otter Rock,OR,Lincoln County
ZCTA5 97373,178,0,0,0,97373,PO BOX,Saint Benedict,OR,Marion County
ZCTA5 97384,67,34,0,0,97384,PO BOX,Mehama,OR,Marion County
ZCTA5 97388,1014,460,17,17,97388,PO BOX,Gleneden Beach,OR,Lincoln County
ZCTA5 97471,31762,12946,1866,1963,97471,STANDARD,Roseburg,OR,Douglas County
ZCTA5 97494,51,51,0,0,97494,PO BOX,Wilbur,OR,Douglas County
ZCTA5 97495,1568,681,65,65,97495,STANDARD,Winchester,OR,Douglas County
ZCTA5 97820,985,443,44,49,97820,STANDARD,Canyon City,OR,Grant County
ZCTA5 97830,660,342,53,53,97830,STANDARD,Fossil,OR,Wheeler County
ZCTA5 97834,1116,571,150,159,97834,STANDARD,Halfway,OR,Baker County
ZCTA5 97911,106,60,2,2,97911,STANDARD,Juntura,OR,Malheur County
ZCTA5 97840,168,48,0,0,97840,STANDARD,Oxbow,OR,Baker County
ZCTA5 97868,1718,676,110,110,97868,STANDARD,Pilot Rock,OR,Umatilla County
ZCTA5 97330,43155,17954,1870,1949,97330,STANDARD,Corvallis,OR,Benton County
ZCTA5 97342,80,49,5,5,97342,PO BOX,Detroit,OR,Marion County
ZCTA5 97345,549,192,55,55,97345,STANDARD,Foster,OR,Linn County
ZCTA5 97352,6860,2037,363,367,97352,STANDARD,Jefferson,OR,Marion County
ZCTA5 97361,12528,3985,844,923,97361,STANDARD,Monmouth,OR,Polk County
ZCTA5 97365,11338,4766,1066,1103,97365,STANDARD,Newport,OR,Lincoln County
ZCTA5 97386,15584,5878,1517,1581,97386,STANDARD,Sweet Home,OR,Linn County
ZCTA5 97401,47985,21770,3260,3385,97401,STANDARD,Eugene,OR,Lane County
ZCTA5 97402,52481,21782,5365,5520,97402,STANDARD,Eugene,OR,Lane County
ZCTA5 97417,2249,1093,316,327,97417,STANDARD,Canyonville,OR,Douglas County
ZCTA5 97419,892,385,74,74,97419,STANDARD,Cheshire,OR,Lane County
ZCTA5 97437,2489,928,163,163,97437,STANDARD,Elmira,OR,Lane County
ZCTA5 97438,1127,424,69,69,97438,STANDARD,Fall Creek,OR,Lane County
ZCTA5 97223,51513,20246,1663,2153,97223,STANDARD,Portland,OR,Washington County
ZCTA5 97224,35949,14893,1149,1253,97224,STANDARD,Portland,OR,Washington County
ZCTA5 97302,40113,17021,2355,2548,97302,STANDARD,Salem,OR,Marion County
ZCTA5 97346,1087,393,72,72,97346,STANDARD,Gates,OR,Marion County
ZCTA5 97355,31118,12014,2323,2393,97355,STANDARD,Lebanon,OR,Linn County
ZCTA5 97374,4394,1817,120,148,97374,STANDARD,Scio,OR,Linn County
ZCTA5 97381,16420,5739,700,831,97381,STANDARD,Silverton,OR,Marion County
ZCTA5 97412,681,230,36,36,97412,STANDARD,Blachly,OR,Lane County
ZCTA5 97431,2289,745,218,218,97431,STANDARD,Dexter,OR,Lane County
ZCTA5 97436,740,338,60,60,97436,STANDARD,Elkton,OR,Douglas County
ZCTA5 97455,3184,991,78,90,97455,STANDARD,Pleasant Hill,OR,Lane County
ZCTA5 97463,3801,1658,646,659,97463,STANDARD,Oakridge,OR,Lane County
ZCTA5 97473,293,143,6,16,97473,STANDARD,Scottsburg,OR,Douglas County
ZCTA5 97536,1151,511,118,121,97536,STANDARD,Prospect,OR,Jackson County
ZCTA5 97540,8554,3886,792,802,97540,STANDARD,Talent,OR,Jackson County
ZCTA5 97601,23020,10107,2654,2750,97601,STANDARD,Klamath Falls,OR,Klamath County
ZCTA5 97818,4352,1433,272,280,97818,STANDARD,Boardman,OR,Morrow County
ZCTA5 97639,479,177,85,101,97639,STANDARD,Sprague River,OR,Klamath County
ZCTA5 97712,65,20,0,0,97712,STANDARD,Brothers,OR,Deschutes County
ZCTA5 97753,2594,1021,111,148,97753,STANDARD,Powell Butte,OR,Crook County
ZCTA5 97869,944,448,79,85,97869,STANDARD,Prairie City,OR,Grant County
ZCTA5 97877,334,203,36,36,97877,STANDARD,Sumpter,OR,Baker County
ZCTA5 97870,644,318,13,13,97870,STANDARD,Richland,OR,Baker County
ZCTA5 97828,3135,1429,198,203,97828,STANDARD,Enterprise,OR,Wallowa County
ZCTA5 97016,6329,2615,442,450,97016,STANDARD,Clatskanie,OR,Columbia County
ZCTA5 97267,33250,13886,1520,1566,97267,STANDARD,Portland,OR,Clackamas County
ZCTA5 97461,823,372,73,73,97461,STANDARD,Noti,OR,Lane County
ZCTA5 97884,103,62,4,5,97884,STANDARD,Unity,OR,Baker County
