NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97535,5454,2289,355,355,97535,Phoenix,Jackson,5406
ZCTA5 97625,360,100,23,23,97625,Dairy,Klamath,387
ZCTA5 97626,58,58,0,0,97626,Fort Klamath,Klamath,45
ZCTA5 97637,126,54,5,5,97637,Plush,Lake,127
ZCTA5 97640,179,94,2,2,97640,Summer Lake,Lake,127
ZCTA5 97009,8198,2919,251,282,97009,Boring,Clackamas,8603
ZCTA5 97014,1589,710,264,264,97014,Cascade Locks,Hood River,1388
ZCTA5 97030,38980,14978,3339,3638,97030,Gresham,Multnomah,38358
ZCTA5 97039,494,202,31,35,97039,Moro,Sherman,552
ZCTA5 97042,2877,1023,99,99,97042,Mulino,Clackamas,2964
ZCTA5 97049,1725,809,89,97,97049,Rhododendron,Clackamas,1647
ZCTA5 97054,1368,603,35,35,97054,Deer Island,Columbia,1541
ZCTA5 97118,672,325,62,64,97118,Garibaldi,Tillamook,797
ZCTA5 97141,13557,5295,1005,1037,97141,Tillamook,Tillamook,14035
ZCTA5 97149,458,211,2,2,97149,Neskowin,Tillamook,721
ZCTA5 97201,17558,9310,1028,1096,97201,Portland,Multnomah,17993
ZCTA5 97216,17757,7001,1373,1401,97216,Portland,Multnomah,16965
ZCTA5 97331,2868,0,0,0,97331,Corvallis,Benton,2865
ZCTA5 97358,2610,1106,79,79,97358,Lyons,Linn,2488
ZCTA5 97034,20108,8155,225,278,97034,Lake Oswego,Clackamas,18656
ZCTA5 97048,7591,2737,621,639,97048,Rainier,Columbia,7756
ZCTA5 97056,12161,4672,488,635,97056,Scappoose,Columbia,11678
ZCTA5 97080,44907,15745,1749,1838,97080,Gresham,Multnomah,44335
ZCTA5 97103,17892,6910,1040,1097,97103,Astoria,Clatsop,17677
ZCTA5 97110,1286,577,128,136,97110,Cannon Beach,Clatsop,1166
ZCTA5 97114,4675,1473,256,280,97114,Dayton,Yamhill,5102
ZCTA5 97122,526,166,17,17,97122,Hebo,Tillamook,396
ZCTA5 97210,11395,6325,345,443,97210,Portland,Multnomah,11877
ZCTA5 97225,25965,11736,910,1177,97225,Portland,Washington,26095
ZCTA5 97453,882,378,77,77,97453,Mapleton,Lane,835
ZCTA5 97222,36904,16090,1912,2279,97222,Portland,Clackamas,36952
ZCTA5 97229,71529,25804,1451,1559,97229,Portland,Washington,69450
ZCTA5 97266,36818,13439,2993,3194,97266,Portland,Multnomah,35727
ZCTA5 97338,22449,8517,1494,1524,97338,Dallas,Polk,21880
ZCTA5 97344,1742,567,209,209,97344,Falls City,Polk,1491
ZCTA5 97368,3326,1388,303,303,97368,Otis,Lincoln,3319
ZCTA5 97376,1046,515,89,94,97376,Seal Rock,Lincoln,1254
ZCTA5 97383,10185,3859,557,577,97383,Stayton,Marion,10046
ZCTA5 97391,6399,2447,618,640,97391,Toledo,Lincoln,6012
