NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,geometry,Percent SNAP,Percent Public Assist,city,county,pop
ZCTA5 97535,5454,2289,355,355,97535,,15.509,15.509,Phoenix,Jackson,5406
ZCTA5 97625,360,100,23,23,97625,,23.0,23.0,Dairy,Klamath,387
ZCTA5 97626,58,58,0,0,97626,,0.0,0.0,Fort Klamath,Klamath,45
ZCTA5 97637,126,54,5,5,97637,,9.2593,9.2593,Plush,Lake,127
ZCTA5 97640,179,94,2,2,97640,,2.1277,2.1277,Summer Lake,Lake,127
ZCTA5 97009,8198,2919,251,282,97009,,8.5988,9.6608,Boring,Clackamas,8603
ZCTA5 97014,1589,710,264,264,97014,,37.1831,37.1831,Cascade Locks,Hood River,1388
ZCTA5 97030,38980,14978,3339,3638,97030,,22.2927,24.289,Gresham,Multnomah,38358
ZCTA5 97039,494,202,31,35,97039,,15.3465,17.3267,Moro,Sherman,552
ZCTA5 97042,2877,1023,99,99,97042,,9.6774,9.6774,Mulino,Clackamas,2964
ZCTA5 97049,1725,809,89,97,97049,,11.0012,11.9901,Rhododendron,Clackamas,1647
ZCTA5 97054,1368,603,35,35,97054,,5.8043,5.8043,Deer Island,Columbia,1541
ZCTA5 97118,672,325,62,64,97118,,19.0769,19.6923,Garibaldi,Tillamook,797
ZCTA5 97141,13557,5295,1005,1037,97141,,18.9802,19.5845,Tillamook,Tillamook,14035
ZCTA5 97149,458,211,2,2,97149,,0.9479,0.9479,Neskowin,Tillamook,721
ZCTA5 97201,17558,9310,1028,1096,97201,,11.0419,11.7723,Portland,Multnomah,17993
ZCTA5 97216,17757,7001,1373,1401,97216,,19.6115,20.0114,Portland,Multnomah,16965
ZCTA5 97331,2868,0,0,0,97331,,,,Corvallis,Benton,2865
ZCTA5 97358,2610,1106,79,79,97358,,7.1429,7.1429,Lyons,Linn,2488
ZCTA5 97034,20108,8155,225,278,97034,,2.759,3.409,Lake Oswego,Clackamas,18656
ZCTA5 97048,7591,2737,621,639,97048,,22.6891,23.3467,Rainier,Columbia,7756
ZCTA5 97056,12161,4672,488,635,97056,,10.4452,13.5916,Scappoose,Columbia,11678
ZCTA5 97080,44907,15745,1749,1838,97080,,11.1083,11.6735,Gresham,Multnomah,44335
ZCTA5 97103,17892,6910,1040,1097,97103,,15.0507,15.8755,Astoria,Clatsop,17677
ZCTA5 97110,1286,577,128,136,97110,,22.1837,23.5702,Cannon Beach,Clatsop,1166
ZCTA5 97114,4675,1473,256,280,97114,,17.3795,19.0088,Dayton,Yamhill,5102
ZCTA5 97122,526,166,17,17,97122,,10.241,10.241,Hebo,Tillamook,396
ZCTA5 97210,11395,6325,345,443,97210,,5.4545,7.004,Portland,Multnomah,11877
ZCTA5 97225,25965,11736,910,1177,97225,,7.7539,10.029,Portland,Washington,26095
ZCTA5 97453,882,378,77,77,97453,,20.3704,20.3704,Mapleton,Lane,835
ZCTA5 97222,36904,16090,1912,2279,97222,,11.8832,14.1641,Portland,Clackamas,36952
ZCTA5 97229,71529,25804,1451,1559,97229,,5.6232,6.0417,Portland,Washington,69450
