registry_number,business_name,entity_type,registry_date,associated_name_type,address,city,state,zip,business_details,address_continued,not_of_record_entity
1017714,SANCTUARY CHURCH,DOMESTIC NONPROFIT CORPORATION,1905-04-06T00:00:00.000,REGISTERED AGENT,1116 SE 135TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1017714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1242015,"PLEASANT VALLEY GRANGE NO. 348, OF THE ORDER OF PATRONS OF HUSBANDRY",DOMESTIC NONPROFIT CORPORATION,1908-02-14T00:00:00.000,MAILING ADDRESS,840 SE 169TH DR,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1242015&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
1242015,"PLEASANT VALLEY GRANGE NO. 348, OF THE ORDER OF PATRONS OF HUSBANDRY",DOMESTIC NONPROFIT CORPORATION,1908-02-14T00:00:00.000,REGISTERED AGENT,840 SE 169TH DR,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=1242015&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2352714,PORTLAND OREGON POST NO. 1 OF THE AMERICAN LEGION,DOMESTIC NONPROFIT CORPORATION,1920-10-07T00:00:00.000,MAILING ADDRESS,1830 SE 122ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2352714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2352714,PORTLAND OREGON POST NO. 1 OF THE AMERICAN LEGION,DOMESTIC NONPROFIT CORPORATION,1920-10-07T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1830 SE 122ND,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2352714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2352714,PORTLAND OREGON POST NO. 1 OF THE AMERICAN LEGION,DOMESTIC NONPROFIT CORPORATION,1920-10-07T00:00:00.000,REGISTERED AGENT,1830 SE 122ND AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2352714&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
2684512,THE EASTSIDE FREE METHODIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1924-03-14T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,650 SE 139TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=2684512&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4112512,FAMILY OF GRACE,DOMESTIC NONPROFIT CORPORATION,1940-01-24T00:00:00.000,MAILING ADDRESS,12414 E BURNSIDE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4112512&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4112512,FAMILY OF GRACE,DOMESTIC NONPROFIT CORPORATION,1940-01-24T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,12414 E BURNSIDE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4112512&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4112512,FAMILY OF GRACE,DOMESTIC NONPROFIT CORPORATION,1940-01-24T00:00:00.000,REGISTERED AGENT,12414 E BURNSIDE ST,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4112512&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4776613,"SAVAGE MEMORIAL PRESBYTERIAN CHURCH, U.S.A.",DOMESTIC NONPROFIT CORPORATION,1949-02-18T00:00:00.000,MAILING ADDRESS,1740 SE 139TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4776613&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4776613,"SAVAGE MEMORIAL PRESBYTERIAN CHURCH, U.S.A.",DOMESTIC NONPROFIT CORPORATION,1949-02-18T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,1740 SE 139TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4776613&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
4776613,"SAVAGE MEMORIAL PRESBYTERIAN CHURCH, U.S.A.",DOMESTIC NONPROFIT CORPORATION,1949-02-18T00:00:00.000,REGISTERED AGENT,1740 SE 139TH AVE,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=4776613&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
5325212,ESTACADA ROD AND GUN CLUB,DOMESTIC NONPROFIT CORPORATION,1954-01-25T00:00:00.000,REGISTERED AGENT,17715 SE WASHINGTON,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=5325212&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
6343917,PARKLANE CHRISTIAN REFORMED CHURCH,DOMESTIC NONPROFIT CORPORATION,1959-12-22T00:00:00.000,MAILING ADDRESS,PETER ARMSTRONG,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6343917&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},16001 SE MAIN,
6343917,PARKLANE CHRISTIAN REFORMED CHURCH,DOMESTIC NONPROFIT CORPORATION,1959-12-22T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,16001 SE MAIN,PORTLAND,OR,97233,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=6343917&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
