registry_number,business_name,entity_type,registry_date,associated_name_type,address,city,state,zip,business_details,address_continued,not_of_record_entity
587311,THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF COLUMBIA-WILLAMETTE,DOMESTIC NONPROFIT CORPORATION,1868-05-16T00:00:00.000,MAILING ADDRESS,851 SW SIXTH AVE #1500,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=587311&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
587311,THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF COLUMBIA-WILLAMETTE,DOMESTIC NONPROFIT CORPORATION,1868-05-16T00:00:00.000,REGISTERED AGENT,851 SW SIXTH AVE #1500,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=587311&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
472118,THE ST. ANDREW'S SOCIETY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1875-04-10T00:00:00.000,MAILING ADDRESS,111 SW 5TH AVE SUITE 3675,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=472118&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
472118,THE ST. ANDREW'S SOCIETY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1875-04-10T00:00:00.000,PRINCIPAL PLACE OF BUSINESS,111 SW 5TH AVE SUITE 3675,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=472118&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
472118,THE ST. ANDREW'S SOCIETY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1875-04-10T00:00:00.000,REGISTERED AGENT,111 SW 5TH AVE SUITE 3675,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=472118&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
184614,"THE FIRST CHRISTIAN CHURCH AT PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1879-07-23T00:00:00.000,REGISTERED AGENT,601 SW 2ND AVE STE 2100,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=184614&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
363614,THE OREGON HUMANE SOCIETY,DOMESTIC NONPROFIT CORPORATION,1880-08-30T00:00:00.000,REGISTERED AGENT,111 SW FIFTH AVE STE 3675,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=363614&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
149617,EAST OREGONIAN PUBLISHING COMPANY,DOMESTIC BUSINESS CORPORATION,1886-12-10T00:00:00.000,MAILING ADDRESS,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=149617&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
149617,EAST OREGONIAN PUBLISHING COMPANY,DOMESTIC BUSINESS CORPORATION,1886-12-10T00:00:00.000,REGISTERED AGENT,888 SW FIFTH AVE STE 1600,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=149617&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
324913,MULTNOMAH LAW LIBRARY,DOMESTIC NONPROFIT CORPORATION,1890-10-11T00:00:00.000,MAILING ADDRESS,1050 SW SIXTH AVE SUITE 180,PORTLAND,OR,97204,{'url': 'http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=324913&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA'},,
